HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols
HGNC:16995	GJA10	Approved		CX62
HGNC:13295	GJA11	Entry Withdrawn		
HGNC:4282	GJAL	Symbol Withdrawn		
HGNC:4283	GJB1	Approved	CMTX1, CMTX	CX32
HGNC:4284	GJB2	Approved	DFNB1, DFNA3	CX26, NSRD1
HGNC:4285	GJB3	Approved	DFNA2, EKV	CX31
HGNC:4286	GJB4	Approved		CX30.3
HGNC:4287	GJB5	Approved		CX31.1
HGNC:4288	GJB6	Approved	DFNA3, ED2	EDH, HED, CX30
HGNC:16690	GJB7	Approved		CX25, bA136M9.1
HGNC:4280	GJC1	Approved	GJA7	CX45
HGNC:17494	GJC2	Approved	GJA12	CX47, CX46.6, SPG44
HGNC:17495	GJC3	Approved	GJE1	CX30.2, CX29
HGNC:19154	GJD2	Approved	GJA9	CX36
HGNC:55560	GJD2-DT	Approved		
HGNC:19147	GJD3	Approved	GJC1	CX31.9, GJA11, Cx30.2
HGNC:56092	GJD3-AS1	Approved		UPLA1
HGNC:23296	GJD4	Approved		CX40.1, FLJ90023
HGNC:58343	GJD4-AS1	Approved		
HGNC:33251	GJE1	Approved		CX23
HGNC:4289	GK	Approved		GK1, GKD
HGNC:40255	GK-AS1	Approved		
HGNC:41339	GK-IT1	Approved		
HGNC:4291	GK2	Approved	GKP2	GKTA
HGNC:4292	GK3	Approved	GKP3, GK3P	GKTB
HGNC:4295	GK4P	Approved	GKP6	
HGNC:28635	GK5	Approved		MGC40579
HGNC:23263	GK6P	Approved	GK7P, GKP1	
HGNC:4290	GK7P	Symbol Withdrawn	GKP1	
HGNC:17496	GKAP1	Approved		GKAP42, FKSG21
HGNC:23217	GKN1	Approved		AMP18, CA11, BRICD1
HGNC:24588	GKN2	Approved		TFIZ1, PRO813, VLTI465, blottin, GDDR, BRICD1B
HGNC:37701	GKN3P	Approved		
HGNC:4293	GKP4	Entry Withdrawn		
HGNC:4294	GKP5	Entry Withdrawn		
HGNC:4296	GLA	Approved		GALA
HGNC:4297	GLAT	Entry Withdrawn		
HGNC:4298	GLB1	Approved	ELNR1	EBP
HGNC:28129	GLB1L	Approved		MGC10771
HGNC:25129	GLB1L2	Approved		
HGNC:25147	GLB1L3	Approved		FLJ90231
HGNC:4299	GLBA	Symbol Withdrawn		
HGNC:4300	GLC#	Entry Withdrawn		
HGNC:4301	GLC1A	Symbol Withdrawn		
HGNC:4302	GLC1B	Entry Withdrawn		
HGNC:4303	GLC1C	Entry Withdrawn		
HGNC:4304	GLC1D	Entry Withdrawn		
HGNC:4305	GLC1E	Symbol Withdrawn		
HGNC:4306	GLC1F	Symbol Withdrawn		
HGNC:23646	GLC1G	Symbol Withdrawn	GLC1G	
