input_symbol,resolved_symbol,ensembl_gene_id,source,note
DHTKD1,DHTKD1,ENSG00000181192,direct,
DHX57,DHX57,ENSG00000163214,direct,
DIABLO,DIABLO,ENSG00000184047,direct,
DICER1,DICER1,ENSG00000100697,direct,
DIO3,DIO3,ENSG00000197406,direct,
DKK3,DKK3,ENSG00000050165,direct,
DLC1,DLC1,ENSG00000164741;ENSG00000288673,direct,
DLST,DLST,ENSG00000119689,direct,
DNA2,DNA2,ENSG00000138346,direct,
DNAJA2,DNAJA2,ENSG00000069345,direct,
DNAJA4,DNAJA4,ENSG00000140403,direct,
DNAJB9,DNAJB9,ENSG00000128590,direct,
DNAJC1,DNAJC1,ENSG00000136770,direct,
DNAJC27,DNAJC27,ENSG00000115137,direct,
DNAL1,DNAL1,ENSG00000119661,direct,
DOK4,DOK4,ENSG00000125170,direct,
DOT1L,DOT1L,ENSG00000104885,direct,
DPAGT1,DPAGT1,ENSG00000172269,direct,
DPF2,DPF2,ENSG00000133884,direct,
DPH3,DPH3,ENSG00000154813,direct,
DPP3,DPP3,ENSG00000254986,direct,
DPY19L4,DPY19L4,ENSG00000156162,direct,
DSG3,DSG3,ENSG00000134757,direct,
DTX2,DTX2,ENSG00000091073;ENSG00000282379,direct,
DTX3L,DTX3L,ENSG00000163840,direct,
DUSP1,DUSP1,ENSG00000120129,direct,
DUSP16,DUSP16,ENSG00000111266;ENSG00000280962,direct,
DUSP19,DUSP19,ENSG00000162999,direct,
DUSP2,DUSP2,ENSG00000158050,direct,
DUSP4,DUSP4,ENSG00000120875,direct,
DUSP7,DUSP7,ENSG00000164086,direct,
DVL3,DVL3,ENSG00000161202,direct,
DYRK1A,DYRK1A,ENSG00000157540,direct,
DYRK2,DYRK2,ENSG00000127334,direct,
E2F2,E2F2,ENSG00000007968;ENSG00000282899,direct,
E2F5,E2F5,ENSG00000133740,direct,
E2F6,E2F6,ENSG00000169016,direct,
EDA,EDA,ENSG00000158813,direct,
EDEM3,EDEM3,ENSG00000116406,direct,
EDN1,EDN1,ENSG00000078401,direct,
EEA1,EEA1,ENSG00000102189,direct,
EEF2K,EEF2K,ENSG00000103319;ENSG00000284161,direct,
EGLN2,EGLN2,ENSG00000269858,direct,
EGR3,EGR3,ENSG00000179388,direct,
EHF,EHF,ENSG00000135373,direct,
EIF4EBP2,EIF4EBP2,ENSG00000148730,direct,
EIF4G2,EIF4G2,ENSG00000110321,direct,
ELF4,ELF4,ENSG00000102034,direct,
ELK4,ELK4,ENSG00000158711,direct,
ELL2,ELL2,ENSG00000118985,direct,
ELMOD3,ELMOD3,ENSG00000115459,direct,
ELOVL2,ELOVL2,ENSG00000197977,direct,
EMB,EMB,ENSG00000170571,direct,
EMX1,EMX1,ENSG00000135638,direct,
ENAH,ENAH,ENSG00000154380,direct,
ENTPD7,ENTPD7,ENSG00000198018,direct,
ENY2,ENY2,ENSG00000120533,direct,
EPB41,EPB41,ENSG00000159023,direct,
EPB41L5,EPB41L5,ENSG00000115109,direct,
EPHA2,EPHA2,ENSG00000142627,direct,
EPHA4,EPHA4,ENSG00000116106,direct,
ERCC6,ERCC6,ENSG00000225830,direct,
ERCC8,ERCC8,ENSG00000049167,direct,
ERGIC1,ERGIC1,ENSG00000113719,direct,
ESPL1,ESPL1,ENSG00000135476,direct,
ESRP2,ESRP2,ENSG00000103067,direct,
ETNK1,ETNK1,ENSG00000139163,direct,
EVI2B,EVI2B,ENSG00000185862;ENSG00000291721,direct,
EXOC5,EXOC5,ENSG00000070367,direct,
EYA3,EYA3,ENSG00000158161,direct,
EZH1,EZH1,ENSG00000108799,direct,
FADS2,FADS2,ENSG00000134824,direct,
FAM118A,FAM118A,ENSG00000100376,direct,
FAM120C,FAM120C,ENSG00000184083,direct,
FAM135A,FAM135A,ENSG00000082269,direct,
FAM180A,FAM180A,ENSG00000189320,direct,
FAM43A,FAM43A,ENSG00000185112,direct,
FAM72A,FAM72A,ENSG00000196550,direct,
FAM72B,FAM72B,ENSG00000188610,direct,
FAM72D,FAM72D,ENSG00000215784,direct,
FARP1,FARP1,ENSG00000152767,direct,
FASLG,FASLG,ENSG00000117560,direct,
FBXL12,FBXL12,ENSG00000127452,direct,
FBXL20,FBXL20,ENSG00000108306,direct,
FBXO22,FBXO22,ENSG00000167196,direct,
FBXO32,FBXO32,ENSG00000156804,direct,
FBXW2,FBXW2,ENSG00000119402,direct,
FGD6,FGD6,ENSG00000180263,direct,
FGF5,FGF5,ENSG00000138675,direct,
FGFR1,FGFR1,ENSG00000077782,direct,
FIGN,FIGN,ENSG00000182263,direct,
FIGNL2,FIGNL2,ENSG00000261308,direct,
FKBP3,FKBP3,ENSG00000100442,direct,
FKRP,FKRP,ENSG00000181027,direct,
FKTN,FKTN,ENSG00000106692,direct,
FMO2,FMO2,ENSG00000094963,direct,
FMO4,FMO4,ENSG00000076258,direct,
FNDC3A,FNDC3A,ENSG00000102531,direct,
FNDC3B,FNDC3B,ENSG00000075420,direct,
FNIP1,FNIP1,ENSG00000217128,direct,
FOXP1,FOXP1,ENSG00000114861,direct,
FRAT2,FRAT2,ENSG00000181274,direct,
FREM2,FREM2,ENSG00000150893,direct,
FXN,FXN,ENSG00000165060,direct,
FXYD5,FXYD5,ENSG00000089327,direct,
FZD3,FZD3,ENSG00000104290,direct,
FZD5,FZD5,ENSG00000163251,direct,
GABRA4,GABRA4,ENSG00000109158,direct,
GALE,GALE,ENSG00000117308,direct,
GALNT1,GALNT1,ENSG00000141429,direct,
GALNT10,GALNT10,ENSG00000164574,direct,
GALNT12,GALNT12,ENSG00000119514,direct,
GALNT13,GALNT13,ENSG00000144278,direct,
GALNT2,GALNT2,ENSG00000143641,direct,
GALNT4,GALNT4,ENSG00000257594,direct,
GAN,GAN,ENSG00000261609,direct,
GANAB,GANAB,ENSG00000089597,direct,
GATM,GATM,ENSG00000171766,direct,
GDAP1,GDAP1,ENSG00000104381,direct,
GDAP2,GDAP2,ENSG00000196505,direct,
GEMIN7,GEMIN7,ENSG00000142252,direct,
GFOD1,GFOD1,ENSG00000145990,direct,
GFRA1,GFRA1,ENSG00000151892,direct,
GGA2,GGA2,ENSG00000103365,direct,
GGCX,GGCX,ENSG00000115486,direct,
GHR,GHR,ENSG00000112964,direct,
GHRHR,GHRHR,ENSG00000106128,direct,
GIPC1,GIPC1,ENSG00000123159,direct,
GJB4,GJB4,ENSG00000189433,direct,
GJC1,GJC1,ENSG00000182963,direct,
GK5,GK5,ENSG00000175066,direct,
GLB1,GLB1,ENSG00000170266,direct,
GLO1,GLO1,ENSG00000124767,direct,
GLUL,GLUL,ENSG00000135821,direct,
GMIP,GMIP,ENSG00000089639,direct,
GMPR2,GMPR2,ENSG00000100938;ENSG00000284752,direct,
GNG5,GNG5,ENSG00000174021,direct,
GNPTAB,GNPTAB,ENSG00000111670,direct,
GOLGA4,GOLGA4,ENSG00000144674,direct,
GOLGA6C,GOLGA6C,ENSG00000167195,direct,
GOLGA6L9,GOLGA6L9,ENSG00000197978;ENSG00000274320,direct,
GOLGA7,GOLGA7,ENSG00000147533,direct,
GOLT1B,GOLT1B,ENSG00000111711,direct,
GPATCH3,GPATCH3,ENSG00000198746,direct,
GPCPD1,GPCPD1,ENSG00000125772,direct,
GPIHBP1,GPIHBP1,ENSG00000277494,direct,
GPR137,GPR137,ENSG00000173264,direct,
GPR155,GPR155,ENSG00000163328,direct,
GPX3,GPX3,ENSG00000211445,direct,
GPX7,GPX7,ENSG00000116157,direct,
GPX8,GPX8,ENSG00000164294,direct,
GREB1,GREB1,ENSG00000196208,direct,
GRPEL2,GRPEL2,ENSG00000164284,direct,
GRSF1,GRSF1,ENSG00000132463,direct,
GSPT1,GSPT1,ENSG00000103342,direct,
GTF2I,GTF2I,ENSG00000263001,direct,
GXYLT1,GXYLT1,ENSG00000151233,direct,
GYG2,GYG2,ENSG00000056998,direct,
H6PD,H6PD,ENSG00000049239,direct,
HABP4,HABP4,ENSG00000130956,direct,
HAND1,HAND1,ENSG00000113196,direct,
HAS2,HAS2,ENSG00000170961,direct,
HCFC2,HCFC2,ENSG00000111727,direct,
HDAC2,HDAC2,ENSG00000196591,direct,
HDLBP,HDLBP,ENSG00000115677,direct,
HECTD2,HECTD2,ENSG00000165338,direct,
HELZ,HELZ,ENSG00000198265,direct,
HIC2,HIC2,ENSG00000169635,direct,
HIF1AN,HIF1AN,ENSG00000166135,direct,
HIPK2,HIPK2,ENSG00000064393,direct,
HMGA1,HMGA1,ENSG00000137309,direct,
HMGA2,HMGA2,ENSG00000149948,direct,
HMGXB4,HMGXB4,ENSG00000100281,direct,
HNRNPC,HNRNPC,ENSG00000092199,direct,
HOOK1,HOOK1,ENSG00000134709,direct,
HOXA9,HOXA9,ENSG00000078399,direct,
HOXC11,HOXC11,ENSG00000123388,direct,
HS2ST1,HS2ST1,ENSG00000153936,direct,
HSPB7,HSPB7,ENSG00000173641,direct,
IDE,IDE,ENSG00000119912,direct,
IDH2,IDH2,ENSG00000182054,direct,
IFI44L,IFI44L,ENSG00000137959,direct,
IFT80,IFT80,ENSG00000068885,direct,
IGDCC3,IGDCC3,ENSG00000174498,direct,
IGF1,IGF1,ENSG00000017427,direct,
IGF1R,IGF1R,ENSG00000140443,direct,
IGF2BP1,IGF2BP1,ENSG00000159217,direct,
IGSF1,IGSF1,ENSG00000147255,direct,
IGSF3,IGSF3,ENSG00000143061,direct,
IKZF2,IKZF2,ENSG00000030419,direct,
IL12RB2,IL12RB2,ENSG00000081985,direct,
IL6R,IL6R,ENSG00000160712,direct,
INO80D,INO80D,ENSG00000114933;ENSG00000283510,direct,
INPP5A,INPP5A,ENSG00000068383,direct,
INPP5B,INPP5B,ENSG00000204084,direct,
INSR,INSR,ENSG00000171105,direct,
INTS2,INTS2,ENSG00000108506,direct,
IPO7,IPO7,ENSG00000205339,direct,
IPO9,IPO9,ENSG00000198700,direct,
IQCC,IQCC,ENSG00000160051,direct,
IRF5,IRF5,ENSG00000128604,direct,
IRGQ,IRGQ,ENSG00000167378,direct,
IRS1,IRS1,ENSG00000169047,direct,
IRS2,IRS2,ENSG00000185950,direct,
ISCA2,ISCA2,ENSG00000165898,direct,
ISLR,ISLR,ENSG00000129009;ENSG00000288508,direct,
ISY1,ISY1,ENSG00000240682,direct,
ITGB3,ITGB3,ENSG00000259207,direct,
ITK,ITK,ENSG00000113263,direct,
ITPKC,ITPKC,ENSG00000086544,direct,
JMJD6,JMJD6,ENSG00000070495,direct,
JOSD1,JOSD1,ENSG00000100221,direct,
