mirna_id,gene_id,weight
hsa-let-7e,ENSG00000155008,1.0
hsa-let-7g,ENSG00000155008,1.0
hsa-let-7i,ENSG00000155008,1.0
hsa-let-7b,ENSG00000062725,1.0
hsa-let-7c,ENSG00000062725,1.0
hsa-let-7d,ENSG00000062725,1.0
hsa-let-7e,ENSG00000062725,1.0
hsa-let-7g,ENSG00000062725,1.0
hsa-let-7i,ENSG00000062725,1.0
hsa-let-7b,ENSG00000086159,1.0
hsa-let-7c,ENSG00000086159,1.0
hsa-let-7d,ENSG00000086159,1.0
hsa-let-7e,ENSG00000086159,1.0
hsa-let-7g,ENSG00000086159,1.0
hsa-let-7i,ENSG00000086159,1.0
hsa-let-7b,ENSG00000241484,1.0
hsa-let-7c,ENSG00000241484,1.0
hsa-let-7d,ENSG00000241484,1.0
hsa-let-7e,ENSG00000241484,1.0
hsa-let-7g,ENSG00000241484,1.0
hsa-let-7i,ENSG00000241484,1.0
hsa-let-7b,ENSG00000116017,1.0
hsa-let-7c,ENSG00000116017,1.0
hsa-let-7d,ENSG00000116017,1.0
hsa-let-7e,ENSG00000116017,1.0
hsa-let-7g,ENSG00000116017,1.0
hsa-let-7i,ENSG00000116017,1.0
hsa-let-7b,ENSG00000179361,1.0
hsa-let-7c,ENSG00000179361,1.0
hsa-let-7d,ENSG00000179361,1.0
hsa-let-7e,ENSG00000179361,1.0
hsa-let-7g,ENSG00000179361,1.0
hsa-let-7i,ENSG00000179361,1.0
hsa-let-7b,ENSG00000175906,1.0
hsa-let-7c,ENSG00000175906,1.0
hsa-let-7d,ENSG00000175906,1.0
hsa-let-7e,ENSG00000175906,1.0
hsa-let-7g,ENSG00000175906,1.0
hsa-let-7i,ENSG00000175906,1.0
hsa-let-7b,ENSG00000162980,1.0
hsa-let-7c,ENSG00000162980,1.0
hsa-let-7d,ENSG00000162980,1.0
hsa-let-7e,ENSG00000162980,1.0
hsa-let-7g,ENSG00000162980,1.0
hsa-let-7i,ENSG00000162980,1.0
hsa-let-7b,ENSG00000177917,1.0
hsa-let-7c,ENSG00000177917,1.0
hsa-let-7d,ENSG00000177917,1.0
hsa-let-7e,ENSG00000177917,1.0
hsa-let-7g,ENSG00000177917,1.0
hsa-let-7i,ENSG00000177917,1.0
hsa-let-7b,ENSG00000128989,1.0
hsa-let-7c,ENSG00000128989,1.0
hsa-let-7d,ENSG00000128989,1.0
hsa-let-7e,ENSG00000128989,1.0
hsa-let-7g,ENSG00000128989,1.0
hsa-let-7i,ENSG00000128989,1.0
hsa-let-7b,ENSG00000137486,1.0
hsa-let-7c,ENSG00000137486,1.0
hsa-let-7d,ENSG00000137486,1.0
hsa-let-7e,ENSG00000137486,1.0
hsa-let-7g,ENSG00000137486,1.0
hsa-let-7i,ENSG00000137486,1.0
hsa-let-7b,ENSG00000140450,1.0
hsa-let-7c,ENSG00000140450,1.0
hsa-let-7d,ENSG00000140450,1.0
hsa-let-7e,ENSG00000140450,1.0
hsa-let-7g,ENSG00000140450,1.0
hsa-let-7i,ENSG00000140450,1.0
hsa-let-7b,ENSG00000153317,1.0
hsa-let-7c,ENSG00000153317,1.0
hsa-let-7d,ENSG00000153317,1.0
hsa-let-7e,ENSG00000153317,1.0
hsa-let-7g,ENSG00000153317,1.0
hsa-let-7i,ENSG00000153317,1.0
hsa-let-7b,ENSG00000005981,1.0
hsa-let-7c,ENSG00000005981,1.0
hsa-let-7d,ENSG00000005981,1.0
hsa-let-7e,ENSG00000005981,1.0
hsa-let-7g,ENSG00000005981,1.0
hsa-let-7i,ENSG00000005981,1.0
hsa-let-7b,ENSG00000152348,1.0
hsa-let-7c,ENSG00000152348,1.0
hsa-let-7d,ENSG00000152348,1.0
hsa-let-7e,ENSG00000152348,1.0
hsa-let-7g,ENSG00000152348,1.0
hsa-let-7i,ENSG00000152348,1.0
hsa-let-7b,ENSG00000145782,1.0
hsa-let-7c,ENSG00000145782,1.0
hsa-let-7d,ENSG00000145782,1.0
hsa-let-7e,ENSG00000145782,1.0
hsa-let-7g,ENSG00000145782,1.0
hsa-let-7i,ENSG00000145782,1.0
hsa-let-7b,ENSG00000085978;ENSG00000281089,1.0
hsa-let-7c,ENSG00000085978;ENSG00000281089,1.0
hsa-let-7d,ENSG00000085978;ENSG00000281089,1.0
hsa-let-7e,ENSG00000085978;ENSG00000281089,1.0
hsa-let-7g,ENSG00000085978;ENSG00000281089,1.0
hsa-let-7i,ENSG00000085978;ENSG00000281089,1.0
hsa-let-7b,ENSG00000198925,1.0
hsa-let-7c,ENSG00000198925,1.0
hsa-let-7d,ENSG00000198925,1.0
hsa-let-7e,ENSG00000198925,1.0
hsa-let-7g,ENSG00000198925,1.0
hsa-let-7i,ENSG00000198925,1.0
hsa-let-7b,ENSG00000174437,1.0
hsa-let-7c,ENSG00000174437,1.0
hsa-let-7d,ENSG00000174437,1.0
hsa-let-7e,ENSG00000174437,1.0
hsa-let-7g,ENSG00000174437,1.0
hsa-let-7i,ENSG00000174437,1.0
hsa-let-7b,ENSG00000058668,1.0
hsa-let-7c,ENSG00000058668,1.0
hsa-let-7d,ENSG00000058668,1.0
hsa-let-7e,ENSG00000058668,1.0
hsa-let-7g,ENSG00000058668,1.0
hsa-let-7i,ENSG00000058668,1.0
hsa-let-7b,ENSG00000128524,1.0
hsa-let-7c,ENSG00000128524,1.0
hsa-let-7d,ENSG00000128524,1.0
hsa-let-7e,ENSG00000128524,1.0
hsa-let-7g,ENSG00000128524,1.0
hsa-let-7i,ENSG00000128524,1.0
hsa-let-7b,ENSG00000136888,1.0
hsa-let-7c,ENSG00000136888,1.0
hsa-let-7d,ENSG00000136888,1.0
hsa-let-7e,ENSG00000136888,1.0
hsa-let-7g,ENSG00000136888,1.0
hsa-let-7i,ENSG00000136888,1.0
hsa-let-7b,ENSG00000123191,1.0
hsa-let-7c,ENSG00000123191,1.0
hsa-let-7d,ENSG00000123191,1.0
hsa-let-7e,ENSG00000123191,1.0
hsa-let-7g,ENSG00000123191,1.0
hsa-let-7i,ENSG00000123191,1.0
hsa-let-7b,ENSG00000123472,1.0
hsa-let-7c,ENSG00000123472,1.0
hsa-let-7d,ENSG00000123472,1.0
hsa-let-7e,ENSG00000123472,1.0
hsa-let-7g,ENSG00000123472,1.0
hsa-let-7i,ENSG00000123472,1.0
hsa-let-7b,ENSG00000224470,1.0
hsa-let-7c,ENSG00000224470,1.0
hsa-let-7d,ENSG00000224470,1.0
hsa-let-7e,ENSG00000224470,1.0
hsa-let-7g,ENSG00000224470,1.0
hsa-let-7i,ENSG00000224470,1.0
hsa-let-7b,ENSG00000087152,1.0
hsa-let-7c,ENSG00000087152,1.0
hsa-let-7d,ENSG00000087152,1.0
hsa-let-7e,ENSG00000087152,1.0
hsa-let-7g,ENSG00000087152,1.0
hsa-let-7i,ENSG00000087152,1.0
hsa-let-7b,ENSG00000253719,1.0
hsa-let-7c,ENSG00000253719,1.0
hsa-let-7d,ENSG00000253719,1.0
hsa-let-7e,ENSG00000253719,1.0
hsa-let-7g,ENSG00000253719,1.0
hsa-let-7i,ENSG00000253719,1.0
hsa-let-7b,ENSG00000087586,1.0
hsa-let-7c,ENSG00000087586,1.0
hsa-let-7d,ENSG00000087586,1.0
hsa-let-7e,ENSG00000087586,1.0
hsa-let-7g,ENSG00000087586,1.0
hsa-let-7i,ENSG00000087586,1.0
hsa-let-7b,ENSG00000178999,1.0
hsa-let-7c,ENSG00000178999,1.0
hsa-let-7d,ENSG00000178999,1.0
hsa-let-7e,ENSG00000178999,1.0
hsa-let-7g,ENSG00000178999,1.0
hsa-let-7i,ENSG00000178999,1.0
hsa-let-7b,ENSG00000149541,1.0
hsa-let-7c,ENSG00000149541,1.0
hsa-let-7d,ENSG00000149541,1.0
hsa-let-7e,ENSG00000149541,1.0
hsa-let-7g,ENSG00000149541,1.0
hsa-let-7i,ENSG00000149541,1.0
hsa-let-7b,ENSG00000156273,1.0
hsa-let-7c,ENSG00000156273,1.0
hsa-let-7d,ENSG00000156273,1.0
hsa-let-7e,ENSG00000156273,1.0
hsa-let-7g,ENSG00000156273,1.0
hsa-let-7i,ENSG00000156273,1.0
hsa-let-7b,ENSG00000107262,1.0
hsa-let-7c,ENSG00000107262,1.0
hsa-let-7d,ENSG00000107262,1.0
hsa-let-7e,ENSG00000107262,1.0
hsa-let-7g,ENSG00000107262,1.0
hsa-let-7i,ENSG00000107262,1.0
hsa-let-7b,ENSG00000140320,1.0
hsa-let-7c,ENSG00000140320,1.0
hsa-let-7d,ENSG00000140320,1.0
hsa-let-7e,ENSG00000140320,1.0
hsa-let-7g,ENSG00000140320,1.0
hsa-let-7i,ENSG00000140320,1.0
hsa-let-7b,ENSG00000114439,1.0
hsa-let-7c,ENSG00000114439,1.0
hsa-let-7d,ENSG00000114439,1.0
hsa-let-7e,ENSG00000114439,1.0
hsa-let-7g,ENSG00000114439,1.0
hsa-let-7i,ENSG00000114439,1.0
hsa-let-7b,ENSG00000187244,1.0
hsa-let-7c,ENSG00000187244,1.0
hsa-let-7d,ENSG00000187244,1.0
hsa-let-7e,ENSG00000187244,1.0
hsa-let-7g,ENSG00000187244,1.0
hsa-let-7i,ENSG00000187244,1.0
hsa-let-7b,ENSG00000075790;ENSG00000283852,1.0
hsa-let-7c,ENSG00000075790;ENSG00000283852,1.0
hsa-let-7d,ENSG00000075790;ENSG00000283852,1.0
hsa-let-7e,ENSG00000075790;ENSG00000283852,1.0
hsa-let-7g,ENSG00000075790;ENSG00000283852,1.0
hsa-let-7i,ENSG00000075790;ENSG00000283852,1.0
hsa-let-7b,ENSG00000129473,1.0
hsa-let-7c,ENSG00000129473,1.0
hsa-let-7d,ENSG00000129473,1.0
hsa-let-7e,ENSG00000129473,1.0
hsa-let-7g,ENSG00000129473,1.0
hsa-let-7i,ENSG00000129473,1.0
hsa-let-7b,ENSG00000106635,1.0
hsa-let-7c,ENSG00000106635,1.0
hsa-let-7d,ENSG00000106635,1.0
hsa-let-7e,ENSG00000106635,1.0
hsa-let-7g,ENSG00000106635,1.0
hsa-let-7i,ENSG00000106635,1.0
hsa-let-7b,ENSG00000183092,1.0
hsa-let-7c,ENSG00000183092,1.0
hsa-let-7d,ENSG00000183092,1.0
hsa-let-7e,ENSG00000183092,1.0
hsa-let-7g,ENSG00000183092,1.0
hsa-let-7i,ENSG00000183092,1.0
hsa-let-7b,ENSG00000147439,1.0
hsa-let-7c,ENSG00000147439,1.0
hsa-let-7d,ENSG00000147439,1.0
hsa-let-7e,ENSG00000147439,1.0
hsa-let-7g,ENSG00000147439,1.0
hsa-let-7i,ENSG00000147439,1.0
hsa-let-7b,ENSG00000135441,1.0
hsa-let-7c,ENSG00000135441,1.0
hsa-let-7d,ENSG00000135441,1.0
hsa-let-7e,ENSG00000135441,1.0
hsa-let-7g,ENSG00000135441,1.0
hsa-let-7i,ENSG00000135441,1.0
hsa-let-7b,ENSG00000125845,1.0
hsa-let-7c,ENSG00000125845,1.0
hsa-let-7d,ENSG00000125845,1.0
hsa-let-7e,ENSG00000125845,1.0
hsa-let-7g,ENSG00000125845,1.0
hsa-let-7i,ENSG00000125845,1.0
hsa-let-7b,ENSG00000107779,1.0
hsa-let-7c,ENSG00000107779,1.0
hsa-let-7d,ENSG00000107779,1.0
hsa-let-7e,ENSG00000107779,1.0
hsa-let-7g,ENSG00000107779,1.0
hsa-let-7i,ENSG00000107779,1.0
